Product_ID,Wafer_ID,Lot_ID,Factory,Line,Shift,Process_Mode,Product_Type,Material_Supplier,Chamber_ID,Temperature,Chamber_Pressure,Gas_Flow,Etch_Rate,Chamber_Humidity,Particle_Count,Thickness_Uniformity,Voltage_Stability,Cycle_Time,Defect
CHIP-00013,WAFER-00013,LOT-006,C,L1,Day,Normal,Standard,S1,CH-04,468.56,2.459,108.76,1.643,31.68,17.5,0.9714,0.9737,29.1,0
CHIP-00014,WAFER-00014,LOT-012,A,L1,Night,Normal,Advanced,S1,CH-01,460.39,2.439,100.23,1.557,34.55,15.2,0.9765,0.9731,32.03,0
CHIP-00015,WAFER-00015,LOT-033,A,L3,Day,High_Speed,Standard,S2,CH-04,489.29,2.521,127.79,1.428,36.22,24.6,0.9706,0.9692,30.86,0
CHIP-00016,WAFER-00016,LOT-023,A,L2,Night,High_Speed,Standard,S2,CH-01,478.67,2.394,119.14,1.467,43.93,23.1,0.897,0.9566,30.06,0
CHIP-00017,WAFER-00017,LOT-009,C,L1,Night,Normal,Premium,S2,CH-01,483.91,2.59,120.4,1.557,33.05,25.9,0.9695,0.9532,31.46,0
CHIP-00018,WAFER-00018,LOT-031,A,L3,Night,Normal,Advanced,S3,CH-01,489.42,2.212,112.85,1.721,34.35,19.2,0.9346,0.9684,26.86,0
CHIP-00019,WAFER-00019,LOT-038,A,L1,Night,Normal,Advanced,S3,CH-03,479.08,2.656,124.77,1.46,38.4,24.7,0.9607,0.9831,29.03,0
CHIP-00020,WAFER-00020,LOT-035,B,L2,Night,Normal,Advanced,S2,CH-01,458.55,2.564,106.47,1.449,36.49,16.7,0.9319,0.978,33.05,0
CHIP-00021,WAFER-00021,LOT-006,C,L1,Day,Normal,Premium,S2,CH-01,477.79,2.483,127.77,1.562,40.43,16.0,0.9257,0.9617,33.84,0
CHIP-00022,WAFER-00022,LOT-021,A,L2,Night,Normal,Standard,S2,CH-03,491.52,2.715,122.41,1.508,30.2,20.4,0.962,0.9528,25.96,0
CHIP-00023,WAFER-00023,LOT-015,C,L1,Day,Normal,Advanced,,CH-04,492.28,2.518,123.31,1.497,35.88,20.7,0.9024,0.9664,32.55,0
CHIP-00024,WAFER-00024,LOT-029,A,L2,Night,High_Speed,Standard,S2,CH-02,494.77,2.505,134.16,1.652,30.92,22.4,0.9635,0.9627,31.45,0
CHIP-00025,WAFER-00025,LOT-011,B,L3,Day,Normal,Advanced,S2,CH-01,495.69,2.644,123.33,1.56,,26.6,,0.9648,38.32,0
CHIP-00026,WAFER-00026,LOT-028,B,L2,Night,Normal,Advanced,S1,CH-04,468.43,2.308,138.55,1.436,28.26,19.9,0.9278,0.978,30.55,0
CHIP-00027,WAFER-00027,LOT-004,C,L1,Day,Normal,Premium,S1,CH-02,477.77,,112.75,1.486,34.61,31.7,0.952,0.9601,35.52,0
CHIP-00028,WAFER-00028,LOT-014,C,L1,Day,High_Speed,Premium,S1,CH-03,471.74,2.585,115.65,1.587,42.2,26.9,0.9589,0.9757,34.11,0
CHIP-00029,WAFER-00029,LOT-029,A,L3,Night,Normal,Standard,S2,CH-02,501.88,2.224,113.26,1.434,38.11,28.1,0.952,0.9778,25.19,0
CHIP-00030,WAFER-00030,LOT-023,B,L3,Day,High_Speed,Advanced,S3,CH-03,459.42,2.53,115.14,1.572,34.76,24.3,0.9427,0.9871,29.47,0
CHIP-00031,WAFER-00031,LOT-035,A,L1,Day,Normal,Premium,S2,CH-01,458.55,2.564,106.47,1.449,36.49,16.7,0.9319,0.978,33.05,0
CHIP-00032,WAFER-00032,LOT-035,A,L1,Night,Normal,Standard,S2,CH-02,480.28,2.757,131.01,1.484,40.33,30.1,0.9232,0.9679,33.92,0
CHIP-00033,WAFER-00033,LOT-025,C,L3,Day,Normal,Standard,S3,CH-03,484.93,,115.42,1.569,37.26,20.7,0.9274,0.9716,28.62,0
CHIP-00034,WAFER-00034,LOT-004,B,L3,Day,Normal,Advanced,S1,CH-01,501.29,2.111,133.51,1.446,38.49,14.9,0.9414,0.9843,33.5,0
CHIP-00035,WAFER-00035,LOT-037,C,L3,Day,Normal,Standard,S1,CH-02,495.14,2.697,116.34,1.452,44.79,20.7,0.9248,0.9748,34.16,0
CHIP-00036,WAFER-00036,LOT-021,A,L2,Night,Normal,Standard,S1,CH-04,503.06,2.435,134.54,1.543,34.71,12.8,0.9006,,30.16,0
CHIP-00037,WAFER-00037,LOT-024,C,L1,Day,Normal,Premium,S2,CH-03,477.56,2.06,125.24,1.455,38.08,11.3,0.9326,0.9773,30.25,0
CHIP-00038,WAFER-00038,LOT-002,C,L3,Day,Normal,Advanced,S1,CH-01,478.49,2.672,119.8,1.709,38.54,25.7,0.9218,0.9807,29.91,0
CHIP-00039,WAFER-00039,LOT-033,B,L3,Night,Normal,Premium,S1,CH-04,487.05,2.6,125.85,1.492,33.93,16.4,0.9588,0.9823,30.91,0
CHIP-00040,WAFER-00040,LOT-015,A,L1,Night,Normal,Advanced,S2,CH-01,483.76,2.684,118.11,1.553,45.18,18.7,0.924,0.9644,24.46,0
CHIP-00041,WAFER-00041,LOT-035,C,L2,Night,Normal,Advanced,S2,CH-04,485.02,2.429,121.37,1.6,27.64,22.2,0.9363,0.9744,27.04,0
CHIP-00042,WAFER-00042,LOT-039,C,L1,Day,Normal,Premium,S2,CH-02,483.06,2.322,116.85,1.408,35.41,24.3,0.9049,0.9753,33.32,0
CHIP-00043,WAFER-00043,LOT-026,A,L1,Night,High_Speed,Standard,S1,CH-01,485.55,2.37,127.29,1.613,37.28,27.1,0.9061,0.9628,31.83,0
CHIP-00044,WAFER-00044,LOT-005,C,L3,Night,Normal,Advanced,S1,CH-04,480.28,2.408,134.83,1.515,43.62,14.3,0.9246,0.9606,35.34,0
CHIP-00045,WAFER-00045,LOT-023,C,L1,Night,Normal,Premium,S1,CH-03,490.58,2.351,117.24,1.328,,35.4,0.948,0.9679,33.35,1
CHIP-00046,WAFER-00046,LOT-030,A,L2,Night,High_Speed,Advanced,S1,CH-01,475.31,2.152,124.06,1.368,37.9,21.3,0.9365,0.9794,32.47,0
CHIP-00047,WAFER-00047,LOT-005,B,L1,Night,High_Speed,Standard,S2,CH-01,465.53,2.143,132.98,1.663,39.72,15.1,0.9585,0.9832,29.03,0
CHIP-00048,WAFER-00048,LOT-009,A,L1,Night,Normal,Standard,S1,CH-04,490.19,2.609,109.3,1.52,35.61,24.5,0.9699,0.9805,31.86,0
CHIP-00049,WAFER-00049,LOT-022,B,L2,Night,High_Speed,Standard,S1,CH-03,493.73,2.631,121.2,1.693,45.2,18.6,0.9478,0.9808,26.48,0
CHIP-00050,WAFER-00050,LOT-007,C,L1,Night,High_Speed,Advanced,S1,CH-04,469.32,2.387,122.77,1.496,40.26,18.2,,0.9791,30.55,0
CHIP-00051,WAFER-00051,LOT-021,C,L3,Day,High_Speed,Advanced,S2,CH-02,474.62,2.424,113.79,1.369,45.95,17.3,0.9151,0.9767,31.0,0
CHIP-00052,WAFER-00052,LOT-021,A,L1,Night,Normal,Premium,S1,CH-03,467.61,2.441,119.73,1.389,31.4,20.6,0.9581,0.992,33.76,0
CHIP-00053,WAFER-00053,LOT-002,B,L2,Day,Normal,Premium,S2,CH-01,474.31,2.555,103.26,1.548,37.34,70.2,0.9338,0.9526,31.52,1
CHIP-00054,WAFER-00054,LOT-018,B,L3,Day,High_Speed,Advanced,S1,CH-02,480.85,2.549,110.41,1.371,34.2,62.1,0.9619,0.9765,34.06,0
CHIP-00055,WAFER-00055,LOT-006,B,L2,Day,Normal,Advanced,S2,CH-02,488.25,2.439,115.18,1.528,34.85,14.4,0.91,0.9592,34.21,0
CHIP-00056,WAFER-00056,LOT-001,C,L1,Day,High_Speed,Standard,S3,CH-04,487.67,2.438,124.83,1.599,37.47,12.4,0.9178,0.9545,27.33,0
CHIP-00057,WAFER-00057,LOT-016,B,L3,Day,Normal,Advanced,S3,CH-04,515.05,2.318,116.58,1.626,32.31,8.8,0.9426,0.9672,26.3,0
CHIP-00058,WAFER-00058,LOT-006,A,L1,Day,Normal,Advanced,S2,CH-01,492.12,2.563,121.65,1.514,28.46,22.2,0.9316,0.9767,28.14,0
CHIP-00059,WAFER-00059,LOT-035,A,L1,Night,High_Speed,Advanced,S1,CH-01,464.37,2.473,116.18,1.499,41.93,12.0,0.9327,0.9569,26.11,0
CHIP-00060,WAFER-00060,LOT-004,C,L3,Night,Normal,Advanced,S1,CH-01,471.91,2.709,122.01,1.535,43.65,14.4,0.9648,0.9712,25.7,0
CHIP-00061,WAFER-00061,LOT-001,A,L1,Day,Normal,Premium,S2,CH-01,487.88,2.185,110.34,1.771,50.24,18.8,0.9466,0.9803,32.31,0
CHIP-00062,WAFER-00062,LOT-022,B,L2,Day,High_Speed,Premium,S1,CH-03,468.3,2.389,134.19,1.352,44.83,18.0,0.9203,0.9714,26.06,0
CHIP-00063,WAFER-00063,LOT-005,C,L1,Day,High_Speed,Standard,S2,CH-04,470.97,2.533,135.35,1.473,43.67,22.1,0.9324,0.9786,33.79,0
CHIP-00064,WAFER-00064,LOT-035,C,L3,Night,High_Speed,Premium,,CH-01,482.51,2.435,119.13,1.714,35.74,24.7,0.9244,0.9743,32.87,0
CHIP-00065,WAFER-00065,LOT-034,B,L2,Day,High_Speed,Standard,S1,CH-01,517.65,2.416,115.97,1.81,37.21,22.7,0.9584,0.9761,26.2,0
CHIP-00066,WAFER-00066,LOT-018,A,L2,Day,Normal,Premium,S3,CH-01,466.44,2.211,111.42,1.445,21.95,27.2,0.9038,,31.4,1
CHIP-00067,WAFER-00067,LOT-010,B,L2,Day,Normal,Advanced,S1,CH-04,463.23,2.63,110.47,1.678,39.67,21.5,0.9386,0.9786,32.11,0
CHIP-00068,WAFER-00068,LOT-026,B,L1,Day,Normal,Advanced,S1,CH-03,492.39,2.448,99.51,1.636,42.57,23.3,,0.982,30.47,0
CHIP-00069,WAFER-00069,LOT-021,B,L1,Night,Normal,Advanced,S1,CH-01,479.06,2.393,108.65,1.649,35.67,23.1,0.9168,,29.78,0
CHIP-00070,WAFER-00070,LOT-017,A,L3,Night,Normal,Advanced,S2,CH-01,471.91,2.429,104.47,1.538,33.03,22.2,0.9497,0.9844,29.71,0
CHIP-00071,WAFER-00071,LOT-002,B,L3,Day,Normal,Premium,S2,CH-02,463.41,2.584,114.16,1.217,30.05,31.4,0.9049,0.982,37.66,0
CHIP-00072,WAFER-00072,LOT-016,B,L3,Day,Normal,Premium,S1,CH-04,471.39,2.324,119.3,1.696,38.41,15.9,0.9644,0.9524,28.6,0
CHIP-00073,WAFER-00073,LOT-007,C,L3,Night,Normal,Advanced,S2,CH-02,475.18,2.6,115.86,1.383,38.37,26.1,0.934,0.9764,25.14,0
CHIP-00074,WAFER-00074,LOT-030,C,L2,Night,Normal,Premium,S1,CH-03,494.94,2.363,117.74,1.5,39.05,57.5,0.986,0.9627,29.8,1
CHIP-00075,WAFER-00075,LOT-018,A,L2,Night,Normal,Standard,S1,CH-01,482.22,2.712,121.17,1.424,40.83,18.1,0.966,0.9715,29.74,0
CHIP-00076,WAFER-00076,LOT-035,A,L2,Night,Normal,Standard,,CH-03,489.31,2.482,117.39,1.59,40.35,20.7,0.9524,0.964,26.36,0
CHIP-00077,WAFER-00077,LOT-032,B,L1,Night,Normal,Standard,S1,CH-03,489.05,2.627,129.58,1.496,38.04,21.2,0.9279,0.9707,27.63,0
CHIP-00078,WAFER-00078,LOT-035,B,L2,Day,Normal,Premium,S2,CH-02,480.28,2.757,131.01,1.484,40.33,30.1,0.9232,0.9679,33.92,0
CHIP-00079,WAFER-00079,LOT-020,A,L1,Day,Normal,Advanced,S1,CH-04,490.42,2.433,117.32,1.497,28.61,12.4,0.9143,0.9752,31.14,0
CHIP-00080,WAFER-00080,LOT-025,C,L2,Night,High_Speed,Advanced,S3,CH-04,471.81,2.695,122.12,1.43,41.19,13.9,0.9741,,32.76,1
CHIP-00081,WAFER-00081,LOT-005,C,L3,Day,Normal,Premium,S2,CH-02,480.94,2.318,113.85,1.595,30.73,25.1,0.9285,0.9656,28.25,0
CHIP-00082,WAFER-00082,LOT-031,C,L2,Day,High_Speed,Premium,S2,CH-02,506.77,2.321,123.3,1.456,38.64,16.5,0.9085,0.9568,28.58,0
CHIP-00083,WAFER-00083,LOT-017,B,L2,Night,High_Speed,Standard,S2,CH-02,496.4,2.525,113.08,1.49,38.95,17.5,0.9443,0.9697,27.92,0
CHIP-00084,WAFER-00084,LOT-035,C,L3,Day,Normal,Advanced,S1,CH-01,468.49,2.669,111.95,1.531,40.97,20.7,0.9819,0.9815,32.24,0
CHIP-00085,WAFER-00085,LOT-032,C,L3,Day,Normal,Advanced,S2,CH-02,468.99,,118.09,1.457,36.47,15.6,0.961,0.9824,32.67,0
CHIP-00086,WAFER-00086,LOT-026,B,L3,Day,High_Speed,Standard,S1,CH-01,485.55,2.37,127.29,1.613,37.28,27.1,0.9061,0.9628,31.83,0
CHIP-00087,WAFER-00087,LOT-036,A,L3,Day,Normal,Standard,S3,CH-03,497.27,2.138,121.17,1.575,35.13,18.4,,0.97,30.6,0
CHIP-00088,WAFER-00088,LOT-003,A,L1,Day,High_Speed,Advanced,S2,CH-01,488.42,2.529,119.16,1.718,44.22,20.4,0.9688,0.9916,28.65,0
CHIP-00089,WAFER-00089,LOT-022,A,L2,Day,Normal,Standard,S3,CH-04,457.23,2.476,118.58,1.688,34.62,2.9,0.9296,0.9628,32.91,0
CHIP-00090,WAFER-00090,LOT-004,C,L3,Day,Normal,Premium,S2,CH-03,484.61,2.541,117.94,1.541,33.65,12.7,0.9067,0.984,23.43,0
CHIP-00091,WAFER-00091,LOT-010,B,L3,Night,High_Speed,Premium,S1,CH-01,469.07,2.489,112.15,1.687,,21.3,0.9242,0.9547,28.03,0
CHIP-00092,WAFER-00092,LOT-005,C,L2,Day,Normal,Advanced,S3,CH-02,485.54,2.366,123.32,1.579,39.39,18.8,0.9055,0.9544,27.51,0
CHIP-00093,WAFER-00093,LOT-006,B,L2,Night,Normal,Advanced,S1,CH-03,502.67,2.494,115.05,1.626,36.12,29.8,0.9383,0.9514,29.18,0
CHIP-00094,WAFER-00094,LOT-027,A,L3,Night,Normal,Standard,S3,CH-03,499.48,2.175,110.02,1.667,44.09,18.2,0.9464,0.9497,31.14,0
CHIP-00095,WAFER-00095,LOT-004,B,L2,Day,High_Speed,Advanced,S1,CH-01,485.96,2.362,117.18,1.552,39.95,21.8,0.9562,0.9733,21.34,0
CHIP-00096,WAFER-00096,LOT-018,A,L1,Day,Normal,Standard,S2,CH-04,476.82,2.578,111.04,1.547,46.49,15.6,0.99,0.9624,36.3,0
CHIP-00097,WAFER-00097,LOT-035,C,L2,Night,Normal,Premium,S3,CH-03,497.8,2.569,100.94,1.626,50.13,27.3,0.9636,0.9698,28.83,0
CHIP-00098,WAFER-00098,LOT-017,A,L2,Day,Normal,Advanced,S2,CH-02,470.33,3.347,119.95,1.478,41.36,19.4,0.9575,0.9932,28.53,0
CHIP-00099,WAFER-00099,LOT-023,A,L2,Day,Normal,Advanced,S3,CH-01,458.03,2.587,110.62,1.549,35.58,16.1,0.9213,0.9857,31.37,0
CHIP-00100,WAFER-00100,LOT-037,B,L3,Day,Normal,Advanced,S3,CH-04,471.69,2.33,132.03,1.727,35.99,10.5,,0.9644,34.64,0
CHIP-00101,WAFER-00101,LOT-035,C,L3,Night,Normal,Premium,S1,CH-01,468.49,2.669,111.95,1.531,40.97,20.7,0.9819,0.9815,32.24,0
CHIP-00102,WAFER-00102,LOT-009,B,L3,Night,Normal,Premium,S2,CH-01,487.67,2.08,109.28,1.592,36.95,16.9,0.9294,0.9839,29.3,1
CHIP-00103,WAFER-00103,LOT-005,A,L1,Night,Normal,Advanced,S3,CH-02,485.54,2.366,123.32,1.579,39.39,18.8,0.9055,0.9544,27.51,0
CHIP-00104,WAFER-00104,LOT-004,C,L1,Day,Normal,Standard,S1,CH-04,467.51,2.224,118.79,1.516,40.81,19.9,0.9427,0.9691,24.13,0
CHIP-00105,WAFER-00105,LOT-033,A,L1,Day,Normal,Advanced,S2,CH-02,498.37,2.441,118.44,1.547,30.04,19.3,0.9501,0.9575,26.15,0
CHIP-00106,WAFER-00106,LOT-007,B,L2,Day,Normal,Premium,S2,CH-01,470.67,2.908,129.44,1.794,31.64,18.3,0.9374,0.9487,31.93,1
CHIP-00107,WAFER-00107,LOT-015,B,L3,Night,Normal,Advanced,S1,CH-03,462.26,2.446,121.95,1.561,39.7,11.2,0.9096,0.9741,30.85,0
CHIP-00108,WAFER-00108,LOT-027,A,L2,Night,Normal,Advanced,S1,CH-03,482.96,2.612,129.56,1.57,36.56,16.1,0.8961,0.9879,29.22,0
CHIP-00109,WAFER-00109,LOT-035,B,L2,Day,Normal,Advanced,S2,CH-02,487.04,2.226,107.01,1.554,31.66,21.7,0.9292,0.9609,35.31,0
CHIP-00110,WAFER-00110,LOT-018,A,L2,Day,High_Speed,Standard,S1,CH-02,476.72,2.36,114.44,1.437,34.76,22.1,0.9242,0.9669,27.12,1
CHIP-00111,WAFER-00111,LOT-033,A,L3,Day,Normal,Advanced,S1,CH-04,487.05,2.6,125.85,1.492,33.93,16.4,0.9588,0.9823,30.91,0
CHIP-00112,WAFER-00112,LOT-024,B,L1,Night,High_Speed,Premium,S2,CH-03,512.45,2.473,108.42,1.57,32.07,24.7,0.9411,0.9596,28.58,0
CHIP-00113,WAFER-00113,LOT-040,A,L1,Night,Normal,Standard,S1,CH-01,485.05,2.304,128.18,1.452,44.95,16.5,0.9211,0.9817,35.19,0
CHIP-00114,WAFER-00114,LOT-003,A,L2,Day,High_Speed,Standard,S2,CH-03,488.2,2.382,129.36,1.616,33.81,13.4,0.9224,0.9946,32.5,0
CHIP-00115,WAFER-00115,LOT-010,B,L2,Day,Normal,Advanced,S1,CH-03,482.77,2.722,128.36,1.511,39.06,19.9,0.9073,0.9917,27.87,0
CHIP-00116,WAFER-00116,LOT-024,C,L2,Night,Normal,Advanced,S1,CH-03,482.14,2.761,114.87,1.593,32.26,16.3,0.9537,0.9548,27.97,0
CHIP-00117,WAFER-00117,LOT-017,C,L1,Day,Normal,Premium,S3,CH-04,480.55,2.501,117.9,1.418,35.51,12.7,0.9218,0.9416,28.93,0
CHIP-00118,WAFER-00118,LOT-037,C,L2,Night,High_Speed,Standard,S3,CH-04,471.69,2.33,132.03,1.727,35.99,10.5,,0.9644,34.64,0
CHIP-00119,WAFER-00119,LOT-022,B,L1,Night,High_Speed,Advanced,S1,CH-01,482.86,2.712,108.31,1.556,39.4,13.7,0.9603,0.9666,25.54,0
CHIP-00120,WAFER-00120,LOT-012,B,L1,Night,Normal,Advanced,S3,CH-02,498.52,2.359,121.82,1.44,40.95,22.7,,0.9879,26.41,0
CHIP-00121,WAFER-00121,LOT-028,B,L2,Day,Normal,Advanced,S1,CH-03,480.24,2.409,122.02,1.437,37.88,21.2,0.9626,0.9716,33.83,0
CHIP-00122,WAFER-00122,LOT-020,C,L1,Night,Normal,Advanced,S3,CH-03,484.62,2.46,102.83,1.474,38.86,20.1,0.9461,0.9836,31.67,0
CHIP-00123,WAFER-00123,LOT-017,B,L2,Day,High_Speed,Advanced,S1,CH-03,498.29,2.428,122.05,1.583,42.25,18.0,0.9456,0.9616,33.97,0
CHIP-00124,WAFER-00124,LOT-026,C,L3,Day,Normal,Advanced,S1,CH-04,481.63,2.534,124.34,1.443,28.97,19.7,0.9138,0.9521,33.86,0
CHIP-00125,WAFER-00125,LOT-014,B,L1,Day,Normal,Standard,S3,CH-01,510.83,2.454,120.26,1.58,45.78,24.6,0.9772,0.9722,26.96,0
CHIP-00126,WAFER-00126,LOT-015,A,L2,Day,Normal,Advanced,S1,CH-04,481.73,2.681,121.39,1.316,37.85,19.4,0.923,,26.06,0
CHIP-00127,WAFER-00127,LOT-035,C,L2,Night,Normal,Advanced,S1,CH-01,473.79,2.884,139.89,1.584,45.25,21.9,0.8962,0.9761,30.93,0
CHIP-00128,WAFER-00128,LOT-008,A,L1,Night,Normal,Standard,S1,CH-03,490.92,2.627,116.16,1.527,32.09,19.9,0.9384,,35.98,0
CHIP-00129,WAFER-00129,LOT-016,C,L3,Day,High_Speed,Premium,S1,CH-01,487.42,2.643,121.1,1.811,35.16,18.3,0.9586,0.9804,24.73,0
CHIP-00130,WAFER-00130,LOT-007,A,L1,Day,High_Speed,Advanced,S2,CH-01,476.75,2.557,115.89,1.539,45.38,21.0,0.9685,0.979,29.18,0
CHIP-00131,WAFER-00131,LOT-015,B,L3,Day,Normal,Standard,S1,CH-04,481.73,2.681,121.39,1.316,37.85,19.4,0.923,,26.06,0
CHIP-00132,WAFER-00132,LOT-035,B,L2,Day,High_Speed,Advanced,S1,CH-01,499.59,2.768,,1.576,,16.8,0.9203,0.954,35.27,0
CHIP-00133,WAFER-00133,LOT-028,A,L1,Day,High_Speed,Standard,S1,CH-03,496.61,2.815,121.01,1.68,33.88,24.0,0.9377,0.9745,32.45,0
CHIP-00134,WAFER-00134,LOT-001,C,L3,Day,Normal,Advanced,S3,CH-01,500.49,2.556,112.48,1.398,39.61,19.3,0.926,0.9593,25.26,0
CHIP-00135,WAFER-00135,LOT-022,A,L1,Night,High_Speed,Standard,S2,CH-03,447.41,2.527,112.73,1.677,48.04,19.3,0.9369,0.9738,100.02,0
CHIP-00136,WAFER-00136,LOT-009,B,L1,Day,High_Speed,Standard,S1,CH-03,472.67,,113.96,1.675,32.25,17.3,0.9199,0.9864,35.18,0
CHIP-00137,WAFER-00137,LOT-008,A,L1,Night,High_Speed,Standard,S1,CH-04,474.06,2.719,125.79,1.579,44.53,17.9,0.9205,0.9622,32.5,1
CHIP-00138,WAFER-00138,LOT-033,C,L3,Day,Normal,Premium,S2,CH-01,466.68,2.686,111.12,1.529,41.79,13.8,0.9221,0.9735,30.83,0
CHIP-00139,WAFER-00139,LOT-011,C,L3,Day,Normal,Advanced,S2,CH-04,470.43,2.46,122.32,1.525,39.19,20.9,0.8976,0.9623,29.2,0
CHIP-00140,WAFER-00140,LOT-024,A,L2,Day,Normal,Standard,S1,CH-02,462.04,2.563,113.33,1.539,41.14,14.4,0.9202,0.9604,31.94,0
CHIP-00141,WAFER-00141,LOT-010,C,L3,Day,Normal,Advanced,S1,CH-03,489.0,2.575,125.59,1.537,38.99,14.0,0.9431,0.9812,27.7,0
CHIP-00142,WAFER-00142,LOT-036,C,L3,Day,Normal,Advanced,S1,CH-03,479.25,2.53,129.03,1.594,46.06,17.5,0.9453,0.9741,36.91,0
CHIP-00143,WAFER-00143,LOT-033,A,L1,Day,Normal,Advanced,S1,CH-04,487.05,2.6,125.85,1.492,33.93,16.4,0.9588,0.9823,30.91,0
CHIP-00144,WAFER-00144,LOT-027,C,L3,Night,Normal,Advanced,S1,CH-04,496.39,2.642,116.65,1.616,35.46,26.4,0.883,0.946,24.32,1
CHIP-00145,WAFER-00145,LOT-023,A,L1,Day,Normal,Standard,S1,CH-01,494.51,2.144,93.02,1.365,32.8,18.6,0.945,0.9517,30.96,0
CHIP-00146,WAFER-00146,LOT-040,C,L3,Day,High_Speed,Advanced,S2,CH-04,504.79,2.413,,1.265,38.3,20.2,0.9343,,27.26,0
CHIP-00147,WAFER-00147,LOT-031,B,L1,Day,Normal,Standard,S2,CH-04,516.81,2.576,121.05,1.556,38.83,19.1,0.933,0.9708,33.53,0
CHIP-00148,WAFER-00148,LOT-022,C,L1,Day,Normal,Premium,S1,CH-03,481.75,2.364,118.88,1.554,32.6,23.9,0.9432,0.9654,34.32,0
CHIP-00149,WAFER-00149,LOT-017,A,L2,Night,Normal,Advanced,S1,CH-04,481.67,2.429,124.76,1.495,33.83,28.8,0.9401,0.9324,31.2,1
CHIP-00150,WAFER-00150,LOT-032,B,L1,Day,High_Speed,Advanced,S2,CH-01,454.47,2.293,114.61,1.394,36.24,13.1,0.9558,0.968,34.45,0
CHIP-00151,WAFER-00151,LOT-008,C,L3,Day,Normal,Advanced,S1,CH-02,493.18,2.345,114.28,1.781,33.96,18.5,0.9229,0.9784,25.35,0
CHIP-00152,WAFER-00152,LOT-026,C,L1,Night,Normal,Advanced,S2,CH-03,483.54,2.413,112.2,1.499,32.66,21.3,0.9671,0.9711,35.37,0
CHIP-00153,WAFER-00153,LOT-032,B,L2,Day,Normal,Advanced,S1,CH-04,506.7,2.344,119.74,1.532,32.43,16.0,0.939,0.99,33.5,0
CHIP-00154,WAFER-00154,LOT-026,B,L3,Day,Normal,Premium,S2,CH-03,488.05,2.588,122.47,1.717,28.7,21.6,0.9409,0.9756,27.12,0
CHIP-00155,WAFER-00155,LOT-018,B,L2,Night,High_Speed,Advanced,S3,CH-04,474.58,2.333,122.67,1.417,48.63,9.5,0.8989,0.9731,28.44,0
CHIP-00156,WAFER-00156,LOT-024,A,L2,Night,Normal,Advanced,S1,CH-01,473.18,2.286,121.56,1.72,35.76,17.2,0.9324,0.9727,31.38,0
CHIP-00157,WAFER-00157,LOT-023,A,L3,Night,Normal,Standard,S1,CH-01,480.26,2.489,119.93,1.42,39.95,13.9,0.9069,0.9919,30.66,0
CHIP-00158,WAFER-00158,LOT-038,A,L1,Day,Normal,Premium,S1,CH-04,471.59,2.423,,1.612,33.01,21.7,0.8701,0.9515,25.65,0
CHIP-00159,WAFER-00159,LOT-019,A,L1,Day,High_Speed,Standard,S3,CH-01,482.6,2.488,122.61,1.548,36.57,15.7,0.8767,,37.25,0
