wafer_id,etch_chamber_temp_avg,cmp_endpoint_thickness,thermal_anneal_temp_max,etch_endpoint_signal,wafer_edge_exclusion,etch_pressure_peak,cmp_pad_temp,deposition_uniformity_index,deposition_thickness_var,cleaning_dhf_concentration,deposition_rate_mean,implant_dose_total,litho_overlay_y,etch_chamber_temp_std,deposition_gas_flow_avg,litho_overlay_x,metrology_cd_mean,cmp_slurry_flow_rate,implant_beam_current,metrology_cd_uniformity,etch_rf_power_mean,cmp_polish_time,litho_exposure_time,deposition_chamber_pressure,litho_dose_avg,implant_tilt_angle,implant_energy_mean,cmp_pressure_avg,particle_count_post,litho_focus_offset,inspection_result
WH_0010,28.83137910870291,23.9845,21.106,,,-6431.75,,0.0556,9.4043,2.7318,0.6764,15.85,9.2222,54.0707,,13.6329,,4.662,,0.0453146191746591,-0.9934,,0.135,0.0863,0.0431,,1.267,15.89,75.199,-0.0036509618191423,Fail
WH_0011,20.91137910870291,11.9045,13.8111,,0.0,-6383.75,5.1224,0.0535,9.5713,4.9663,0.698,15.74,19.7945,,20.6249,13.2003,0.0,3.347,10.23,0.0989146191746591,0.5204,4.4386,0.129,0.2812,0.0916,5.9448,1.002,,104.4515,-0.0061509618191423,Fail
WH_0012,7.09767910870291,25.7182,12.9332,71.2333,0.0,-5282.75,8.8969,0.045,9.1855,0.89,0.8117,,6.34615,49.0251,16.6698,7.9905,0.0,1.8245,9.82,0.0334146191746591,-0.2365,4.6494,0.1009999999999999,0.0566,0.0295,4.4785,1.035,15.85,376.1317,-0.0090509618191423,Fail
WH_0013,0.86,19.14,9.3445,67.0889,0.0,-5397.5,6.6883,,8.7997,2.271,0.7965,15.89,8.3753,76.7875,9.0537,9.1068,0.0,3.0696,5.85,0.0225,-0.4258,6.3611,0.1169999999999999,0.0954,0.039,,0.9318,15.89,397.6912,-0.0128,Pass
WH_0014,6.6,13.4,14.8513,68.9444,215.2047,-6506.75,5.4098,0.0386,8.7851,3.2504,0.8387,15.87,4.6859,44.3213,17.7793,9.5359,0.0,1.6829,7.86,0.0151,0.7096,4.2886,0.094,0.0508,0.0216,6.9622,1.1909999999999998,15.84,102.1638,-0.009,Pass
WH_0015,0.5682,19.4318,10.7036,67.8222,891.7782,-5932.0,35.1483,,8.7994,3.3051,0.8244,15.87,7.7636,36.7722,21.6922,14.9271,0.0,5.6645,11.19,0.0183,-0.9461,3.7296,0.192,0.072,0.0359,5.931,1.3430000000000002,15.88,120.5752,-0.0122,Pass
WH_0016,-2.8818,22.8818,7.9823,68.1667,0.0,-5389.75,47.9614,0.0193,8.8132,3.8305,0.7586,15.91,4.3948,59.5136,,3.7139,0.0,2.867,7.89,0.015,-0.5204,5.3253,0.047,0.0737,0.02,6.6169,1.239,15.89,153.7653,-0.0087,Pass
WH_0017,,21.4027,10.9119,67.6333,296.7742,-5012.75,8.1791,0.0351,,4.0246,0.5662,15.8,6.34615,30.9051,14.8614,5.8689,0.0,1.2423,,0.0184,-1.797,5.6231,0.077,0.0702,0.0295,5.4441,1.834,15.8,0.0,-0.0113,Pass
WH_0018,4.9336,15.0664,10.4532,,,-5519.25,10.8892,0.0603,9.0744,3.3777,0.6676,15.77,6.34615,62.9442,12.0137,10.7754,0.0,4.434,8.32,0.0284,-0.8988,2.3875,0.14,0.0936,0.0295,5.8045,1.2009999999999998,15.73,113.8563,-0.0099,Pass
WH_0019,-0.8964,,18.0124,70.1889,0.0,-5530.0,27.6854,0.1118,8.7283,5.7855,0.7717,15.87,3.4934,,35.7298,19.1088,,1.8322,6.67,0.02,0.0,2.8686,0.238,0.0645,0.016,,1.541,15.91,178.4946,-0.0099,Pass
WH_0020,-2.3264,22.3264,6.5539,76.0556,415.3499,-5418.75,13.564,0.0649,8.2061,4.8516,0.8307,15.76,,32.6882,,11.3837,0.0,3.8404,4.89,0.0238,0.6623,8.2443,0.145,0.0805,0.0295,5.2364,,15.76,0.0,-0.0116,Pass
WH_0021,26.1536,13.8464,8.1601,64.7222,,-6250.25,3.9038,0.0492,9.2655,4.4156,0.6469,15.81,4.3501,45.2579,21.0728,11.0766,0.0,3.937,11.64,0.0285,-0.2838,4.0298,0.107,0.1234,0.0202,,,15.84,402.6201,-0.0075,Pass
WH_0022,10.27407910870291,22.5418,8.4749,71.0667,,-5554.25,18.7424,0.0937,8.8973,2.7793,0.821,15.78,6.34615,107.5171,23.8489,15.2493,0.0,3.5787,6.94,0.0469146191746591,1.419,6.45,0.195,0.0853,0.0295,4.8906,0.7048,15.75,101.8378,-0.0010509618191423,Fail
WH_0023,1.4982,18.5018,20.713,66.3111,666.6667,,19.1516,0.0502,9.0425,2.4791,0.7923,15.95,6.34615,,7.73,9.3023,0.0,2.6245,9.84,0.0247,-0.8042,4.1930000000000005,0.118,0.0865,0.0295,6.8363,0.9649,16.0,66.4695,-0.0075,Pass
WH_0024,1.3009,18.6991,8.33,75.0889,674.3295,-5143.5,27.2383,0.0485,8.2395,5.4598,0.6879,15.72,107.0314,19.6721,10.5844,9.0139,0.0,,7.66,0.0226,-1.135,5.9056,0.1169999999999999,0.0621,0.4793,5.6737,1.182,,597.1014,-0.0092,Pass
WH_0025,-21.2055,41.2055,12.9338,65.3222,569.9443,-6169.5,32.8876,0.0293,8.755,4.4202,0.779,15.79,6.34615,54.8885,25.5441,7.387,0.0,,8.7,0.0316,0.0946,2.2631,0.067,0.1306,0.0295,,,15.79,257.6455,-0.0073,Pass
WH_0026,26.18677910870291,6.6291,9.6634,68.9111,0.0,-5229.25,24.0187,0.0814,8.8043,5.2067,0.6786,15.94,5.1758,46.4912,,13.3333,0.0,,17.62,0.0306146191746591,-0.5677,6.1186,0.173,0.0459,0.0234,5.5776,,15.99,380.8301,-0.0069509618191423,Fail
WH_0027,6.17037910870291,26.6455,9.4188,70.0778,0.0,-5284.0,8.2702,0.0563,8.9036,3.0627,0.7446,15.77,,30.5489,23.6125,9.7632,0.0,1.9042,8.12,0.0426146191746591,0.0,2.2741,,0.074,0.0295,5.6453,1.276,15.78,259.8901,-0.0060509618191423,Fail
WH_0028,1.6482,18.3518,9.5825,70.6444,908.8757,-5633.5,19.6326,0.0691,,3.9602,0.7131,15.67,,86.1338,17.7838,11.3545,,2.4365,6.13,0.0242,0.1419,4.1693,0.149,0.1029,,5.6479,0.8278,15.61,0.0,-0.0077,Pass
WH_0029,9.86677910870291,22.9491,10.1582,66.6333,0.0,-5774.0,19.1548,,8.7402,1.7876,0.828,15.84,6.34615,37.4026,25.0,8.7057,0.0,1.9987,5.28,,-2.742,4.1505,0.113,0.0659,0.0295,5.2397,1.305,15.71,553.7313,-0.0099509618191423,Fail
WH_0030,27.3227,12.6773,14.4708,66.0667,0.0,-5486.25,26.3203,0.0559999999999999,9.7484,4.8753,0.6897,15.82,11.0186,34.7826,35.4671,9.4761,0.0,2.1294,4.39,,-0.5204,2.3571,0.123,0.0749,0.0519,7.3823,,15.87,44.0811,-0.0083,Pass
WH_0031,-2.1409,22.1409,11.8512,68.1111,0.0,-5336.75,14.8967,0.111,,2.6008,0.7948,15.78,,62.0278,13.5197,19.0439,0.0,1.0806,6.62,0.0229,-3.779,5.9983,0.247,0.0851,,6.5589,1.4469999999999998,15.75,163.8132,-0.0126,Pass
WH_0032,9.81037910870291,23.0055,10.8938,,0.0,-5459.75,15.4036,0.0554,8.7597,2.6293,0.8568,15.74,6.34615,,17.9572,9.2914,0.0,2.0277,6.46,0.0407146191746591,-1.939,4.3792,0.119,0.0743,0.0295,6.2505,0.9649,15.69,139.5415,-0.0050509618191423,Fail
WH_0033,2.0064,,13.2088,67.0889,420.3222,-6572.75,4.3817,0.0438,9.396,3.2605,0.8117,15.87,3.9715,20.8514,20.9449,10.7088,0.0,3.5457,7.82,0.0127,-0.2365,3.7726,0.105,0.0499,0.0182,7.6674,1.035,15.85,155.8842,-0.0144,Pass
WH_0034,-2.1464,22.1464,8.8549,66.2889,384.127,-5320.5,3.6087,0.0518,8.3383,3.9396,0.6812,15.73,6.34615,33.5766,14.9701,8.0978,0.0,3.3275,3.9,0.0206,-0.9934,5.5472,0.111,0.0755,0.0295,6.5791,1.229,15.79,317.5385,-0.0137,Pass
WH_0035,-2.6709,22.6709,,71.9667,0.0,-5366.75,15.6706,0.0599,8.7932,3.8272,0.8318,15.77,5.3643,45.3258,22.3345,10.2443,1000.0,2.8944,4.75,0.0171,-2.175,5.3233,0.13,,0.0247,5.6144,0.9318,15.71,89.9589,-0.0132,Pass
WH_0036,,22.3618,11.058,62.5,344.4976,-1431.5,400.0,0.4655,9.2007,,0.7661,15.77,39.1058,125.5385,400.0,400.0,,400.0,7.65,0.0618146191746591,0.0,400.0,,0.1363,0.1785,,0.8467,15.8,98.8254,0.0003490381808576,Fail
WH_0037,1.5527,18.4473,,59.9667,905.1643,-5618.75,11.9422,0.0396,9.3851,3.7056,0.8057,15.82,4.7744,51.0638,19.5748,9.0256,0.0,,6.47,0.0224,0.7569,3.7917,0.088,0.0699,0.0218,4.6827,1.002,15.9,97.8939,-0.0106,Pass
WH_0038,-2.5836,22.5836,12.8172,,797.193,-5335.0,20.1874,0.0349,9.6938,3.7889,0.7067,15.93,6.332000000000001,40.6936,18.5985,6.5777,0.0,,9.34,0.0152,0.6623,3.4283,0.085,0.0476,0.0293,5.7088,1.097,15.96,200.0,,Pass
WH_0039,-2.9791,22.9791,14.0025,73.3556,392.2078,,11.9518,0.0847,8.3271,3.9626,0.8741,15.72,6.34615,62.6653,,14.2128,0.0,2.8395,,0.0168,0.3784,4.7036,0.181,,,7.2437,0.9365,15.73,498.7406,-0.0123,Pass
WH_0040,21.23947910870291,31.5764,7.6049,67.2222,0.0,-5505.5,5.8124,0.0522,8.6013,4.4914,0.7987,15.82,8.5531,,8.3502,8.6822,0.0,2.0918,15.02,0.0537146191746591,1.608,,0.1119999999999999,0.1009999999999999,0.0402,5.5239,1.035,15.83,,0.0002490381808576,Fail
WH_0041,9.5227,30.4773,,60.9222,0.0,-6656.75,32.5985,,9.1585,4.4631,0.7509,15.78,34.0222,54.8463,27.2585,8.2844,,1.5633,8.87,0.0168,0.0473,2.3037,0.074,0.0603,0.1574,3.9957,0.9933,15.83,136.80200000000002,-0.0053,Pass
WH_0042,15.23317910870291,17.5827,15.0885,70.3889,175.7393,-5311.5,9.1311,0.0191,8.5987,4.1294,0.8361,15.78,4.8934,40.4949,102.5247,3.27,0.0,1.3587,10.59,0.0332146191746591,1.088,3.7881,0.043,0.0525,0.0225,4.6886,0.9413,15.73,,-0.0066509618191423,Fail
WH_0043,-1.9827,,16.0683,67.5222,866.9951,-6171.0,30.5137,0.0622,8.5862,2.7221,0.8046,15.76,6.34615,29.927,13.0087,11.8362,0.0,3.1527,5.95,0.015,0.0946,3.08,0.151,0.051,0.0295,5.5213,1.418,15.7,0.0,-0.0137,Pass
WH_0044,-10.37,30.37,,68.4333,0.0,-6439.0,3.7428,,,5.0662,0.6751,15.82,,44.3497,13.9212,7.1982,0.0,3.5702,,0.0505,-0.0473,2.1408,0.072,0.1859,0.0295,5.9763,1.239,15.88,94.3723,-0.0117,Pass
WH_0045,3.1382,16.8618,7.254,67.5333,0.0,-5646.0,9.83,0.0665,8.8424,4.7389,0.7308,15.7,6.34615,44.1219,17.1434,12.383,0.0,3.398,11.77,0.0315,0.0,8.3166,0.162,0.1216,0.0295,5.7609,1.286,15.66,222.8524,-0.0086,Pass
WH_0046,-0.1773,20.1773,6.5907,73.1222,0.0,-5801.25,7.326,0.0428,8.5889,3.1534,0.7697,15.62,28.2443,31.5789,23.6056,7.862999999999999,0.0,2.643,9.54,0.0131,0.1419,5.351,0.1009999999999999,0.0437,0.1365,5.6363,1.0590000000000002,15.63,150.54,-0.0105,Pass
WH_0047,-0.4073,20.4073,10.0925,70.1,595.8333,-6724.5,27.6303,0.0583,,2.7862,0.7833,15.79,6.34615,32.9412,25.0646,13.7861,0.0,5.5431,7.81,0.0319,-0.615,,0.136,0.0959,0.0295,5.8332,0.9507,15.8,,-0.0106,Pass
WH_0048,9.5927,10.4073,16.9067,68.2556,0.0,-5194.0,9.7228,0.0547,8.9416,4.9188,0.621,15.82,63.7718,52.4138,9.9445,9.1085,0.0,2.3733,5.9,0.034,-0.4258,5.9352,0.118,0.1092,0.3021,7.0251,1.418,15.85,44.7126,-0.0072,Pass
WH_0049,1.4373,18.5627,12.3056,67.5333,391.3514,-5277.25,9.5883,,8.7812,2.6436,0.7975,16.0,3.3415,79.8859,,11.3179,0.0,2.289,13.3,0.0232,-0.0946,4.4067,0.149,0.0863,0.0154,5.7578,0.9176,16.04,140.5685,-0.0088,Pass
WH_0050,26.8609,13.1391,10.8658,66.6889,265.1601,-5291.5,9.5436,0.0977,8.6211,4.4356,0.6887,15.83,4.5321,43.7659,19.5718,16.8906,0.0,1.4842,8.94,,-0.5677,2.669,0.22,0.0629,0.0211,5.689,1.21,15.79,78.634,-0.0098,Pass
WH_0051,1.1173,38.8827,7.4479,62.8778,873.5632,-5485.0,11.2306,0.0791,9.0998,1.8757,0.6955,15.76,5.622999999999999,150.8046,18.3683,12.2143,0.0,2.7643,5.87,0.0268,0.0482,1.8923,,0.1086,0.0262,5.8851,1.459,15.8,,-0.0054,Pass
WH_0052,3.88,16.12,12.399,,256.7731,-6279.5,10.16,0.0443,8.8505,3.6394,0.6848,15.78,10.0856,58.7065,29.0252,11.0064,0.0,3.8284,6.93,0.0381,0.7569,4.0773,0.108,0.1359,0.0477,5.9837,1.182,15.77,72.2175,-0.01,Pass
WH_0053,-17.3591,37.3591,18.8041,64.7889,749.2447,-2668.5,213.753,0.518,8.8249,2.6483,,15.76,6.34615,33.383,236.3075,208.8219,0.0,204.9874,10.43,0.0325,0.0482,202.4845,0.935,0.109,0.0295,4.5489,1.459,15.8,594.2605,-0.0084,Pass
WH_0054,-1.0927,21.0927,9.1137,67.3,0.0,-6380.0,8.0721,0.0487,23.1583,2.9002,0.7287,15.92,49.4715,48.5126,21.0595,12.0751,0.0,5.2163,13.17,0.0131,0.2365,3.9656,0.119,0.0429,0.2193,5.8811,1.338,15.99,61.21,-0.0109,Pass
WH_0055,,14.9527,12.7967,70.6444,0.0,,4.8078,0.0301,9.1855,,0.752,15.84,6.34615,48.1046,8.6343,5.0468,0.0,1.3014,6.31,0.0662146191746591,0.4258,4.3629,0.066,0.177,0.0295,5.2693,1.39,15.67,175.4902,-0.0051509618191423,Fail
WH_0056,1.5745,18.4255,9.0145,72.4889,0.0,-4958.0,8.5317,0.0449,8.7512,2.1845,0.8712,15.92,6.34615,,14.5341,8.041,0.0,5.4161,5.1,,-0.1419,10.5716,0.102,,0.0295,6.3127,1.3090000000000002,15.87,,-0.0102,Pass
WH_0057,0.31,19.69,,69.1,230.0461,-6261.75,7.952999999999999,,9.4043,,0.6848,15.78,31.8153,62.0499,30.8181,19.0429,0.0,5.3199,5.77,0.1251,0.7569,5.6082,0.191,0.3685,0.151,13.0958,1.182,,216.1866,-0.009,Pass
WH_0058,17.79037910870291,35.0255,8.7738,62.7889,0.0,-5664.0,11.5819,0.0693,9.0998,4.5859,0.83,15.74,28.0929,65.99600000000001,21.4403,12.0969,0.0,1.4168,5.16,0.0534146191746591,0.7569,4.6336,0.151,0.1085,0.1286,6.13,0.9744,15.73,193.4799,-0.0017509618191423,Fail
WH_0059,-3.8791,23.8791,18.0327,72.3556,,-5654.75,22.848000000000003,0.0717,8.9857,4.3578,,15.84,6.34615,41.3793,16.2134,13.1563,0.0,1.7037,7.82,0.0206,-2.553,4.1682,0.166,0.0697,0.0295,8.4224,1.111,15.75,382.6377,-0.0109,Pass
WH_0060,-1.4173,21.4173,6.4841,75.8111,,-5410.75,25.2645,0.0662,8.3006,4.7569,0.8291,15.76,,25.2308,33.236,12.5349,0.0,1.5866,7.31,,0.2838,,,0.0909,0.0295,5.4323,0.9271,15.73,173.5115,-0.0163,Pass
WH_0061,11.6964,28.3036,25.0237,69.8333,0.0,-5175.5,9.7962,0.0545,8.6527,2.6948,0.7025,15.84,4.8034,143.2836,13.1903,8.0449,0.0,2.4523,11.09,0.0321,-0.5677,6.2539,0.104,0.1078,0.0225,,1.172,15.9,214.4821,,Pass
WH_0062,-5.8855,25.8855,21.9638,69.2889,0.0,-5295.25,8.9892,0.0617,8.9541,,0.7403,16.02,6.34615,42.1637,17.3124,11.54,0.0,3.937,3.78,0.0225,-0.7569,5.6089,0.148,0.0687,0.0295,8.2363,1.281,16.07,164.1354,-0.009,Pass
WH_0063,,21.4236,12.4659,60.2667,,-5432.75,12.7376,0.0321,9.2405,6.0882,0.7709999999999999,15.75,8.3082,65.2038,6.6285,5.2663,0.0,2.3584,19.62,0.0517146191746591,0.0,4.8107,0.067,0.1134,0.0385,4.4137,0.9082,15.74,40.4883,0.0004490381808576,Fail
WH_0064,24.8064,15.1936,8.5501,67.8111,0.0,-5443.0,6.4670000000000005,0.0521,8.7947,2.6628,0.7388,15.71,11.8498,45.0704,12.1608,8.8526,0.0,1.02,10.74,0.0426,0.0473,2.0567,0.114,0.1419,0.0545,7.6145,1.026,15.76,63.1149,-0.0062,Pass
WH_0065,-3.4873,23.4873,14.0231,69.4778,0.0,-5431.25,2.099,0.0482,8.662,6.7972,0.7269,15.73,,35.4571,9.6132,8.8116,,2.2893,8.72,0.0151,-0.9461,1.7096,0.114,0.0501,0.0295,9.2888,1.13,15.73,282.8508,-0.009,Pass
WH_0066,-2.0455,22.0455,9.5867,72.0,0.0,,,0.0975,9.065,1.968,0.6153,,6.34615,31.5082,,16.7587,,3.2004,7.48,0.0214,-0.1892,5.9935,0.22,,0.0295,6.0673,1.21,15.73,598.7952,-0.013,Pass
WH_0067,1.4745,18.5255,15.9643,68.2,379.4362,-5874.25,43.6992,0.016,,5.5872,0.7025,15.81,4.4028,71.9723,8.2107,2.5181,0.0,2.4025,8.04,0.0401,0.7569,3.0625,0.033,0.1277,0.0202,,1.116,15.85,36.2041,-0.0144,Pass
WH_0068,0.2655,19.7345,11.5071,68.0889,0.0,-6328.75,9.923,0.0505,8.5615,4.8327,0.7591,15.93,9.9757,32.0875,,12.0935,0.0,2.5518,21.09,0.012,-1.655,4.9987,0.119,0.0431,0.0464,4.698,1.376,15.95,135.9703,-0.0137,Pass
WH_0069,4.3618,15.6382,,68.3667,0.0,-5426.0,19.8673,0.0611,8.7646,5.5156,0.7182,16.07,3.4707,29.912,12.3118,,0.0,2.2491,7.55,0.0278,-1.83,6.0008,0.147,0.0918,0.0164,7.8763,1.757,16.09,209.2879,-0.017,Pass
WH_0070,4.4455,15.5545,10.5995,67.0556,587.4126,-6466.25,5.3663,0.0556,8.6005,3.9305,0.6852,15.71,8.5471,66.8407,25.9911,13.482,0.0,3.0605,7.27,0.0146,-0.6623,5.47,0.133,0.0458,0.0383,5.2038,1.182,15.74,49.5238,-0.0096,Pass
WH_0071,11.67037910870291,21.1455,14.1891,70.5444,0.0,-5475.5,11.3232,0.0542,,3.4689,0.7085,15.88,,33.8028,6.2671,9.1068,0.0,2.8396,6.0,0.0406146191746591,-0.7569,1.6406,0.1169999999999999,0.0748,0.0295,7.5121,1.357,15.87,171.584,-0.0061509618191423,Fail
WH_0072,4.3055,15.6945,11.3762,65.5556,670.6849,-5635.0,12.3869,0.0267,8.8513,5.401,0.716,15.85,6.34615,112.7148,15.8192,4.4598,0.0,2.2447,9.33,0.0408,0.2838,4.4961,0.0579999999999999,0.1341,0.0295,5.8235,1.456,15.92,263.4965,-0.0036,Pass
WH_0073,1.1664,18.8336,12.4928,71.2667,456.7164,-5153.25,22.8594,0.0452,8.1728,,,,6.34615,54.833,20.0222,8.43,0.0,3.7752,5.33,,,3.8076,,,0.0295,,,,,-0.0142,Pass
WH_0074,8.3918,31.6082,24.4088,67.7333,0.0,-5394.0,,0.0873,8.5155,4.3233,0.8487,15.73,9.7632,68.6695,20.1208,,0.0,3.5969,6.71,0.0108,-0.0946,3.6126,0.184,0.0388,0.0454,5.9989,0.8798,15.74,43.3018,-0.0058,Pass
WH_0075,-3.9509,,9.6884,73.1111,196.0784,-5535.0,7.57,0.0625,8.5735,4.2489,0.8307,16.0,4.5042,19.0476,11.2066,10.6927,0.0,5.7361,6.14,0.0236,-3.119,6.2373,0.1369999999999999,0.0906,0.021,,1.078,15.93,250.3817,-0.0147,Pass
WH_0076,3.4318,16.5682,15.2495,,920.7547,-5773.0,19.1408,0.0889,8.0787,4.9199,0.8336,,6.7908,47.0588,17.0685,16.0804,0.0,1.3186,7.89,0.0162,-2.789,5.1735,0.208,,0.0311,,1.026,15.78,219.6226,-0.0134,Pass
WH_0077,,,20.3348,72.6,0.0,-5561.75,13.2872,0.0614,8.0787,3.2249,0.8014,15.84,6.34615,,15.1312,11.2687,0.0,2.0014,,0.0213,-2.553,7.5009,0.141,0.0817,0.0295,8.1861,1.111,15.75,167.0973,,Pass
WH_0078,31.918579108702907,20.8973,10.8628,66.9778,765.2174,-5387.5,25.2251,0.037,9.7484,,0.698,15.74,5.3498,,14.4741,7.1457,0.0,2.8236,,0.0820146191746591,0.5204,3.4626,0.089,0.2,0.0248,4.2466,1.002,15.75,176.247,-0.0038509618191423,Fail
WH_0079,3.1136,36.8864,14.2377,66.4444,0.0,,8.0859,0.0588,8.5405,4.8273,0.6890000000000001,15.85,7.3021,,24.0866,14.206,0.0,3.0404,11.47,0.0296,0.5204,4.448,0.14,0.0989,0.0344,6.8944,1.177,15.84,178.9424,-0.0094,Pass
WH_0080,-8.64,,7.9668,68.7333,942.132,-5336.0,20.596,0.0149,8.5788,3.0455,0.7833,15.79,3.7905,,11.8283,2.6692,0.0,3.2539,,0.0295,-0.615,1.4549,0.035,0.1108,0.0175,5.2204,0.9507,15.8,46.4371,-0.0067,Pass
WH_0081,-1.99,21.99,14.8912,69.6222,,-5526.5,17.5337,0.0712,9.534,,0.7131,15.67,6.34615,64.1711,17.9104,11.8954,0.0,2.0212,9.04,0.0215,0.1419,5.5728,0.158,0.0753,0.0295,5.4252,0.8278,15.61,257.405,-0.0093,Pass
WH_0082,-0.0045,20.0045,6.3171,73.7667,0.0,-5327.5,6.2318,0.0341,8.1161,4.1959,0.5833,15.74,,32.1788,15.7739,5.8286,0.0,3.1433,11.06,0.0269,-3.732,8.9545,0.075,0.1065,0.0295,5.2657,2.022,15.7,0.0,-0.0112,Pass
WH_0083,-1.8045,21.8045,16.6075,74.7778,0.0,-6458.0,5.8532,0.0898,8.6024,4.9025,0.6153,15.73,6.34615,42.0438,2.5874,31.3546,,6.8027,10.96,0.0205,-0.1892,39.9217,0.206,0.0677,0.0295,,1.21,15.73,0.0,-0.0086,Pass
WH_0084,-0.5591,20.5591,8.5954,68.3667,,,4.1691,,8.6384,3.8382,0.7248,15.62,6.34615,53.9515,1.2391,5.7958,0.0,7.9777,4.58,0.0191,-1.229,2.3876,0.063,0.0659,,5.7273,1.38,15.61,357.6662,-0.0119,Pass
WH_0085,1.2518,18.7482,7.5674,,0.0,-6473.25,3.0742,0.0334,8.6384,2.9249,0.7248,15.62,6.34615,50.7795,2.6616,7.3519,0.0,6.4777,5.79,0.0372,-1.229,2.7782,0.081,0.1404,0.0295,5.1882,1.38,,0.0,,Pass
WH_0086,9.6564,30.3436,8.4405,62.6778,0.0,-6886.25,25.2097,0.0455,9.219,4.7455,,15.72,15.0641,37.5,27.5928,11.2062,0.0,3.482,11.81,0.0311,0.7096,3.7047,0.108,0.096,0.0701,6.1242,1.087,15.8,149.3575,-0.0072,Pass
WH_0087,3.3064,16.6936,6.9721,68.0,0.0,-5544.0,2.2547,0.0574,,5.3661,0.8557,15.7,,34.4725,19.1637,9.5701,0.0,3.6725,7.58,0.0217,1.419,5.5877,0.123,0.0833,0.0295,5.3497,0.8089,15.69,72.0083,-0.0084,Pass
WH_0088,37.71857910870291,15.0973,10.6163,68.3222,0.0,-5493.75,1.3288,0.0428,8.658999999999999,3.6445,0.8139,15.93,5.7587,172.0755,10.1549,7.1001,0.0,3.076,9.93,0.0623146191746591,-0.0473,6.1584,0.095,0.1423,0.0267,4.0902,0.6055,,150.6579,,Fail
